"","Coef","Beta","Se","Z","P","Ci.lb","Ci.ub"
"1","intrcpt",0.16,0.04,4.25,0,0.09,0.23
"2","PortionLast",-0.15,0.04,-3.77,0,-0.22,-0.07
"3","BehaviourIndirect",0.17,0.04,4.19,0,0.09,0.25
"4","NID",0,0,-1.51,0.13,0,0
"5","Area",0,0.01,-0.02,0.99,-0.02,0.02
"6","NYears",0,0,2.65,0.01,0,0.01
