"","Predictor","K","AICc","R2","Delta","wi"
"1","NID + Area + NYears",4,-6.25748788710183,0.313455276910216,0,0.66
"2","Intercept",1,-4.32534704631684,0,1.93,0.25
"3","Phylogeny",1,-2.28759858602643,0,3.97,0.09
"4","HostGroup + NID + Area + NYears",10,11.3418540461939,0.432353397172193,17.6,0
